K;Abst;Chir;LePe;Josp;Bayr;Lagu;Chev;Mamè;Besa;StJo
67;193490;89176;112555;53772;57496;22459;21727;28968;16416;4973
68;125177;61640;80028;36730;31032;17711;21452;20443;12026;3430
24;72010;47787;26956;38440;11383;12466;9841;10201;11373;17202
33;245629;113648;85813;109017;40358;35582;29080;37641;26856;47635
40;65040;35769;19516;40798;13101;8938;7223;7768;8064;22563
47;58239;29099;31526;26304;11152;8087;6770;7542;7133;15433
64;122473;58976;32644;55996;41435;16291;12118;18087;15865;29303
3;67064;37533;25386;28815;11576;11241;9337;6961;8467;7936
15;31265;27350;9848;12737;4885;4456;3918;2935;3839;8257
43;39899;24630;22171;15435;10287;6982;6514;5529;6258;5876
63;107838;57551;41307;51571;21691;23363;19203;15345;17695;11490
21;80869;45982;43391;36933;18263;14009;16664;12195;10545;7999
58;47754;20421;19138;23775;6205;7656;6253;4627;5742;5869
71;107782;53346;49446;46968;17735;16167;14362;11589;13282;11573
89;62442;33444;35071;22805;10651;9287;8774;7102;6945;7035
22;101365;64332;37049;61040;20172;21324;13918;19495;18142;12516
29;159788;101792;50028;85911;34930;29702;22132;30395;27352;16411
35;158132;94703;46449;79142;34958;29955;20231;31346;23863;15251
56;125025;81706;53793;60421;23860;20517;15097;20898;18577;14207
18;60794;33276;25449;23688;9493;11121;7950;6500;6887;8891
28;72715;40167;37905;28635;13511;11773;9792;8588;7731;10420
36;43976;26714;19331;20876;6631;8267;5489;4613;5959;9455
37;99455;53504;39359;44624;19009;17796;15263;14367;12143;12738
41;58017;32004;30818;24493;12587;10191;8131;7154;7094;11085
45;102596;58575;57523;41857;21184;15286;15858;13877;10780;14546
8;53802;24051;30835;21777;7554;9805;5639;5208;5865;5291
10;50775;28917;30018;18879;8608;7729;6481;5076;4989;6906
51;109060;52514;49331;35281;19668;17678;12118;11974;10073;8869
52;39932;19863;22356;13058;5647;6195;4467;4320;4751;5094
2A;35073;13899;8749;7539;1833;1666;3400;1630;1391;3885
2B;44086;16281;8417;9297;1825;1963;4299;1639;1592;5124
25;77884;46190;46988;35993;15519;13667;22406;12862;11238;7203
39;43775;22837;24133;17755;9332;7605;9623;7315;6952;5256
70;41296;22905;28416;17091;6768;7047;11055;4957;5969;5962
90;21173;9391;14835;6548;3366;3667;12826;2819;2643;1427
75;322390;178841;69658;148624;58924;22714;49342;55050;25476;3905
77;213491;93472;89719;70566;30955;26786;30142;25654;18294;10402
78;257504;125470;81830;83227;49087;23106;35818;32003;17172;8806
91;216856;86563;72286;76215;32319;24612;33059;28029;17149;7194
92;263614;129297;64204;89957;47834;20572;35165;31565;16209;4290
93;224962;63832;70232;70610;20695;23664;25355;24282;14939;3126
94;224656;85638;63378;75824;31847;20762;30326;27744;15853;3889
95;195540;74994;72217;64903;27240;20860;26409;22217;13876;3340
11;56852;26018;34357;37020;7521;9343;8708;6999;7700;12050
30;114580;48342;79743;44406;19577;16332;16563;13901;12556;17158
34;162082;68502;104841;73208;25453;22552;24362;25245;18370;26303
48;13340;10838;5958;5637;3277;2035;2091;1944;2040;3644
66;77594;34170;42143;33513;12341;10577;10401;8838;8593;11735
19;37538;48168;12463;23130;4613;7836;5461;4572;6169;8808
23;28263;18378;7831;12798;3143;4207;3325;2406;3531;4890
87;60040;41713;21434;37558;8800;14217;10066;8444;10437;10007
54;136507;59478;58515;52222;20540;24407;18505;17307;15604;6821
55;37231;19304;19945;13991;7126;6475;4375;4458;4441;4427
57;221079;89936;112091;68611;30906;33423;21671;24761;20356;6261
88;76000;37937;41379;28119;12056;13378;10860;8941;10050;6268
9;26162;11394;12027;18890;3236;4388;3703;4207;4442;6684
12;46724;35436;19343;26061;11435;7902;7994;7611;7780;13114
31;169549;79080;86395;110550;33291;28887;30276;35867;24285;20062
32;30742;17961;13330;19901;6459;4946;4396;4574;4566;10828
46;28252;18283;10262;16779;4771;5439;5278;5175;5190;9680
65;42226;19825;14949;24407;9350;6830;5360;5679;6550;11017
81;57870;35064;32616;36275;11712;9595;9416;11122;8957;12826
82;34202;20325;23160;18004;6685;5961;5232;5251;4796;9690
59;497034;209977;230015;199036;78071;85680;54733;56414;50141;41881
62;281689;121849;135154;128311;36126;61354;38994;27968;34267;47106
14;121588;63580;46258;51516;22631;24204;15556;17279;15698;22468
50;93680;64963;34064;34992;17001;17001;12233;10160;12190;20300
61;53099;35147;27307;19738;10590;9615;5543;6594;6708;8514
27;97535;52433;53125;37738;17575;18640;12672;11909;12633;14104
76;222140;113651;96671;100010;35966;46955;27872;29290;30426;22320
44;211562;109245;67213;104631;46015;36753;29602;41110;31914;26267
49;127065;80628;42583;54721;36297;21853;15866;22621;17258;16536
53;53817;39198;18019;21860;12792;8344;5965;8676;8047;5758
72;106921;56362;39762;44115;16546;19496;12428;14120;13626;9688
85;102441;77310;36447;45768;25890;17559;11931;15943;13664;19990
2;96332;49280;55558;40208;13966;21369;12228;9379;12410;10646
60;132877;66361;82589;49548;21596;25167;18742;16137;14719;11776
80;97156;51493;47731;40764;18730;23372;12240;10704;12864;35413
16;37321;35395;24735;31870;10501;12415;8017;8981;9650;13257
17;112657;59749;39427;47399;18238;17534;13372;15162;13453;27130
79;63732;41890;17367;33998;15008;12960;7639;11134;10108;12516
86;70617;44389;22961;35841;13602;14778;9379;11890;10654;15022
4;26546;12998;13184;10845;4651;4366;4654;4468;4056;7123
5;23076;12036;9965;9152;4816;3437;4068;4677;3797;5063
6;151822;102588;121362;56868;31729;17544;22634;22388;11992;11430
13;306819;138189;182777;114322;47530;40220;44947;41563;26851;32097
83;180580;96388;106698;54816;27627;20363;23995;19747;13621;21948
84;83805;41935;64831;31611;14270;11274;12190;11891;9313;15129
1;88681;41348;52617;30418;18614;11562;14665;12339;9404;9717
7;52249;27861;27043;22946;10984;8613;9072;8467;8287;12391
26;78308;35552;46484;31172;15518;10947;13353;12859;10005;11289
38;186017;77215;92576;80852;34650;29345;34192;35248;22930;13660
42;131661;57378;73637;45519;27300;19208;20567;17096;14887;10882
69;240476;121703;130367;94101;59622;30042;44823;40908;24135;11073
73;69900;33958;37312;24688;13352;9213;11936;11923;8326;5604
74;114868;55175;61547;33767;24573;13378;16785;21431;11268;6705
